no	author	pseudonym	title	subtitle	source	city	year	number_of_periodical_pagination	editions	narration	setting	region	location	protagonist_gender	protagonist_name_male	protagonist_name_female
146	Даль, Владимир Иванович		Напраслина	картины из русского быта	Современник		1856	No 11. Отд. 1. С. 149–153.		3л	имение	Великороссия		муж	Федор	нет
147	Максимов, Сергей Васильевич		Кулачок	рассказ	Библиотека для чтения		1856	Т. 138. No 7. С. 1–110.		3л	город	Великороссия	Петербург	муж	Петр	нет
148	Салтыков, Михаил Евграфович	Щедрин Н.	В остроге	губернские очерки	Русский вестник		1856	No 23. Декабрь. Кн. 1. С. 401–439.		1л	острог	Великороссия		муж	Герасим	Параша
149	Салтыков, Михаил Евграфович	Щедрин Н.	Аринушка	губернские очерки	Русский вестник		1856	No 23. Декабрь. Кн. 1. С. 401–439.		1л	имение	Великороссия		жен	нет	Аринушка
150	Толстой, Лев Николаевич		Утро помещика		Отечественные записки		1856	Т. 109. No 12. Отд. I. С. 524–572		3л	имение	Великороссия		муж	Дмитрий	нет
151	Григорович, Дмитрий Васильевич		В ожидании парома	рассказ	Современник		1857	No 8. Отд. I. С. 215–225.		1л	деревня	Великороссия		муж и жен	без имени	без имени
152	Григорович, Дмитрий Васильевич		Кошка и мышка	повесть	Современник		1857	No 12. Отд. I. С. 115–186		3л	деревня	Великороссия		муж	Савелий	нет
153	Даль, Владимир Иванович		Мертвое тело		Русская беседа		1857	Кн. 2. Изящная словесность. С. 121–128.		3л	деревня	Великороссия		жен	нет	без имени
154	Даль, Владимир Иванович		Отставной		Морской сборник		1857	No 5. С. 1–31.		3л	деревня	Великороссия	Костромская губерния	муж	без имени	Авдотья
155	Даль, Владимир Иванович		Отцовский суд	картины из русского быта	Современник		1857	No 7. С. 71–81.		3л	деревня	Великороссия		муж	Сидор	нет
156	Даль, Владимир Иванович		Невеста с площади	картины из русского быта	Русская беседа		1857	Кн. 2. Изящная словесность. С. 109–121.		3л	деревня	Великороссия		жен	Терентий	Дарья
157	Даль, Владимир Иванович		Светлый праздник	картины из русского быта	Отечественные записки		1857	Т. 114. No 10. Отд. I. С. 430–434.		3л	деревня	Великороссия		муж	без имени	без имени
158	Даль, Владимир Иванович		Бесчестье	картины из русского быта	Отечественные записки		1857	Т. 114. No 10. Отд. I. С. 434–442.		3л	деревня	Великороссия		муж	Михайла	Дуня
159	Даль, Владимир Иванович		Петруша с Параней	картины из русского быта	Отечественные записки		1857	Т. 114. No 10. Отд. I. С. 442–452.		3л	деревня	Великороссия		муж	Петр	Параня
160	Даль, Владимир Иванович		Прадедовские ветлы	картины из русского быта	Отечественные записки		1857	Т. 115. No 11. Отд. I. С. 203–215.		3л	деревня	Великороссия		муж	Василий	нет
